paper_id	arXiv_id
560	2209.15274
561	1803.01529
562	1911.01048
563	2108.08233
564	1705.04774
565	1701.08028
566	2102.03994
567	2101.12284
568	2012.10545
569	2005.08551
570	1911.11314
571	2110.15072
572	1908.04683
573	2206.03451
574	1811.12016
575	1903.05885
576	1805.04385
577	2207.08319
578	1903.11054
579	1002.0102
580	1803.09196
581	1912.06314
582	2209.1549
583	1608.03824
584	2205.11927
585	2209.09002
586	2209.12061
587	2207.03669
588	2209.03456
589	2211.01796
590	1807.11042
591	2012.04445
592	2106.00978
593	1510.05828
594	1604.01841
595	2204.11285
596	1904.02774
597	2207.13325
598	1905.03836
599	2006.05977
600	2104.00241
601	1802.08645
602	2107.12655
603	1912.07414
604	1508.03422
605	2006.07206
606	2101.02702
607	1404.4282
608	1701.06659
609	1812.08538
610	1709.05111
611	1804.08704
612	2111.11871
613	1707.0371
614	1708.02721
615	2108.06685
616	1808.0821
617	2011.06852
618	2206.13116
619	1607.07027
620	2204.00523
621	2201.08962
622	2106.11294
623	1907.05091
624	1709.0989
625	1709.00904
626	1304.0023
627	2010.13433
628	2101.10772
629	1509.07473
630	2101.02533
631	1810.12145
632	1904.11238
633	2210.07122
634	1803.11227
635	2003.00749
636	2201.05541
637	2103.16364
638	1910.07766
639	2201.08683
640	1511.03532
641	1603.04781
642	1709.0955
643	1803.05963
644	1803.08435
645	2207.07803
646	2101.09193
647	2003.09119
648	2006.12661
649	2009.06139
650	2205.00755
651	1507.08586
652	2207.1015
653	2207.06706
654	2201.09023
655	1911.11351
656	2111.02018
657	2210.05189
658	2210.03672
659	2202.12588
660	1912.08931
661	1810.00445
662	2206.05394
663	2104.06773
664	1904.09435
665	2103.10764
666	1906.0985
667	1512.07251
668	2010.16396
669	2006.02692
670	1612.08669
671	2201.00475
672	2207.06028
673	2103.1291
674	1704.03432
675	2201.12451
676	2106.05965
677	2106.13976
678	2009.13724
679	1811.02636
680	1705.04451
681	2103.05929
682	2206.09024
683	2003.08282
684	2012.07228
685	1702.07028
686	1705.06861
687	1705.08422
688	2003.08593
689	2205.04339
690	2103.16408
691	1503.05187
692	2207.07945
693	2110.00978
694	1909.03751
695	2005.1381
696	1804.00443
697	1911.02837
698	2106.1212
699	1709.0227
700	2102.01929
701	1908.02635
702	1802.07379
703	1701.00349
704	2112.03803
705	1911.10194
706	1904.00982
707	2211.07076
708	1706.02071
709	2106.12054
710	2203.14804
711	1707.03753
712	2011.14371
713	2210.14083
714	2210.05837
715	2201.10307
716	2103.10089
717	2210.0581
718	2112.09245
719	1503.04598
720	1702.01076
721	2105.07273
722	2110.04931
723	1907.11811
724	2211.09788
725	1811.05819
726	2012.12302
727	2109.12544
729	1810.11981
730	2107.03436
731	2201.00288
732	1507.0306
733	2207.11754
734	1909.09725
735	2204.05807
736	2102.0612
737	2006.11011
738	2205.10637
739	1906.09136
740	1804.0402
741	2110.03081
742	2202.04766
743	1805.01556
744	1811.07231
745	2107.1227
746	2001.05087
747	1809.00289
748	2101.1015
749	2208.09703
750	2107.13191
751	1709.0067
752	2209.15579
754	1811.06405
755	2205.13349
756	1801.03844
757	2207.03327
758	2004.10247
760	2003.07557
761	2104.05969
762	2010.05099
763	1906.06822
764	1805.00116
765	2210.0698
766	2109.02094
767	2005.04306
768	1602.03111
769	1712.06921
770	1705.08106
771	2210.03355
772	1507.05409
773	2108.0062
774	1705.04396
775	1910.05514
776	1910.02807
777	1902.05361
778	2204.1342
779	2109.02628
780	2107.02396
781	2111.13333
782	1705.0336
783	1610.03024
784	2201.03832
785	2209.102
786	2209.0507
787	2004.02503
788	2105.11925
789	2110.01218
790	2104.06114
791	2211.01785
792	1908.08162
793	1502.04348
794	1804.1006
795	1705.01921
796	2003.08737
797	1608.02682
798	2009.04365
799	2106.02578
800	1905.1098
801	1810.00511
802	2206.12455
803	2207.03006
804	2112.00725
805	2005.02132
806	2207.06835
807	1907.13327
808	2012.00357
809	1608.01093
810	2110.07201
811	1511.04717
812	2204.03815
813	2107.05945
814	1806.02557
815	2202.07349
816	1711.06491
817	1705.07999
818	2207.02205
819	1809.09368
820	2201.08984
821	1609.08313
822	1704.01944
823	2012.02109
824	2108.0913
825	1703.06995
826	1904.1249
827	2207.04585
828	2012.05422
829	1807.0144
830	2102.01894
831	2103.14792
832	2011.11036
833	1911.09605
834	1611.07476
835	1812.05161
836	2011.15069
837	2207.10909
838	1510.04206
839	2110.1498
840	1507.08373
841	2110.10599
842	1709.06451
843	2001.03102
844	1804.06254
845	1903.04025
846	2101.11002
847	2208.05716
848	1611.09026
849	2106.04112
850	2207.03132
851	1807.01026
852	2111.08333
853	1911.08855
854	2004.09958
855	2011.13042
856	1707.033
857	1703.06339
858	1803.0649
859	1512.00047
860	2009.13721
861	1611.00218
862	2012.00927
863	2205.01694
864	1604.01985
865	2210.10956
866	2203.0994
867	1910.02481
868	2206.03657
869	1611.00576
870	2110.00199
871	2009.13112
872	2004.13313
873	2202.1228
874	1911.06968
875	1509.08257
876	1902.00153
877	1801.02453
878	2103.16481
879	2009.05252
880	2110.05015
881	2209.10761
882	1805.03869
883	1408.3686
884	1502.06648
885	2106.08551
886	2110.15343
887	1609.09058
888	2208.06674
889	2006.02532
890	1904.08506
891	2211.09537
892	1708.04497
893	1804.10541
894	2207.11951
895	2203.00186
896	2101.08742
897	1711.09539
898	2111.13362
899	1903.03515
900	2107.0583
901	2006.1011
902	1702.06673
903	2004.08596
904	1911.08202
905	1501.06297
906	2012.01007
907	2208.00817
908	2103.04048
909	2107.04829
910	2207.02308
911	1904.10816
912	1812.07297
913	1612.02844
914	2001.00802
915	2205.11804
916	1803.08709
917	2109.0674
918	2109.07246
919	1603.00831
920	2201.03185
921	2203.06747
922	1911.05277
923	1804.05827
924	1910.13077
925	1505.01515
926	2101.00183
927	2112.10457
928	1705.07961
929	2203.05997
930	1904.11487
931	1505.03795
932	2204.02659
933	1408.0119
934	1803.0884
935	2105.11825
936	1907.10125
937	2008.00348
938	2010.14957
939	1802.03642
940	2101.02174
941	2208.06999
942	2203.13122
943	1909.01867
944	2210.15232
945	1905.08766
946	2205.03569
947	2001.09614
948	2103.05677
949	2106.02943
950	1611.03894
951	1706.06247
952	2207.14349
953	2010.14395
954	2204.11164
955	1807.07824
956	1901.00927
957	2008.07043
958	1902.00643
959	1905.10089
960	2002.12204
961	2106.00799
962	1903.08649
963	1804.10427
964	1903.10554
965	2010.15255
966	1804.02864
967	1812.02945
968	2104.01481
969	2208.10547
970	1705.09808
971	1905.00185
972	2208.09446
974	2105.13794
975	2208.08611
976	2006.06567
977	2204.09783
978	2104.07158
979	2007.10319
980	2002.07481
981	2110.09248
982	2002.08549
983	1807.01232
984	1904.09568
985	1804.1075
986	2108.11682
987	1909.13628
988	2106.02426
989	1801.01582
990	2112.04607
991	2205.08683
992	1607.04867
993	1810.03654
994	2210.12689
995	1808.01745
996	2006.04325
997	2003.02445
998	2207.10456
999	2201.10313
1000	1810.00188
1001	1907.09997
1002	2110.07806
1003	1702.01638
1004	1901.03425
1005	2206.11115
